0.5,4.9055,0.00008,0.00012,0.00005
1,9.8110,0.00040,0.00037,0.00019
1.5,14.7165,0.00059,0.00055,0.00029
2,19.6220,0.00078,0.00075,0.00038
2.5,24.5275,0.00088,0.00088,0.00044
3,29.4330,0.00113,0.00107,0.00055
3.5,34.3385,0.00124,0.00118,0.00061
4,39.2440,0.00134,0.00130,0.00066
4.5,44.1495,0.00145,0.00144,0.00072
5,49.0550,0.00156,0.00158,0.00079
5.5,53.9605,0.00168,0.00167,0.00084
6,58.8660,0.00180,0.00180,0.00090
